"species","percentage_in_ALL_MPA","percentage_in_NT_MPA"
"Apristurus nakayai",100,0
"Asymbolus pallidus",100,17.4757281553398
"Aulohalaelurus kanakorum",100,0
"Bathyraja leucomelanos",100,0
"Bythaelurus giddingsi",100,0
"Cephaloscyllium zebrum",100,27.2727272727273
"Dipturus apricus",100,25.2873563218391
"Dipturus polyommata",100,24.2857142857143
"Dipturus queenslandicus",100,16.1290322580645
"Etmopterus carteri",100,50
"Figaro striatus",100,17.3469387755102
"Narcine nelsoni",100,17.3333333333333
"Notoraja ochroderma",100,0
"Parmaturus bigus",100,0
"Pavoraja mosaica",100,20.8333333333333
"Pavoraja pseudonitida",100,20.8333333333333
"Pristiophorus delicatus",100,20.6611570247934
"Pristiophorus lanae",100,0
"Rajella eisenhardti",100,0
"Sinobatis filicauda",100,50
"Squalus lalannei",100,0
"Squalus melanurus",100,0
"Squalus notocaudatus",100,22.0472440944882
"Squalus raoulensis",100,0
"Urolophus deforgesi",100,0
"Urolophus papilio",100,0
"Etmopterus dianthus",96.969696969697,33.3333333333333
"Etmopterus dislineatus",95.5555555555556,16.4444444444444
"Bathyraja pallida",92.3076923076923,0
"Insentiraja laxipella",89.4736842105263,15.7894736842105
"Urolophus neocaledoniensis",89.4736842105263,0
"Parmaturus albipenis",88.8888888888889,5.55555555555556
"Urolophus piperatus",88.8888888888889,11.1111111111111
"Hemitriakis abdita",85.0746268656716,2.98507462686567
"Squalus bucephalus",84.2592592592593,12.962962962963
"Asymbolus galacticus",83.3333333333333,50
"Bathyraja murrayi",82.6086956521739,15.2173913043478
"Parmaturus albimarginatus",82.5,5
"Etmopterus pseudosqualiolus",81.5789473684211,13.1578947368421
"Aetomylaeus asperrimus",80.9523809523809,0
"Mustelus walkeri",77.5700934579439,21.4953271028037
"Apristurus albisoma",77,11
"Neotrygon ningalooensis",75,0
"Brachaelurus colcloughi",73.4939759036145,21.6867469879518
"Etmopterus caudistigmus",70,30
"Bathyraja irrasa",68.6567164179104,19.4029850746269
"Squatina albipunctata",66.8810289389068,11.2540192926045
"Centrophorus seychellorum",66.6666666666667,0
"Squalus grahami",66.3461538461538,15.8653846153846
"Dipturus melanospilus",63.8297872340426,8.51063829787234
"Himantura pacifica",62.962962962963,0
"Orectolobus ornatus",61.7486338797814,17.4863387978142
"Galeus priapus",61.5384615384615,23.0769230769231
"Squalus albifrons",60.3351955307263,10.6145251396648
"Aptychotrema timorensis",60,0
"Cephaloscyllium variegatum",58.8888888888889,10.5555555555556
"Urolophus flavomosaicus",58.8235294117647,13.9705882352941
"Aptychotrema rostrata",52.6627218934911,14.2011834319527
"Bathyraja ishiharai",52.3809523809524,28.5714285714286
"Dipturus healdi",50.6024096385542,6.02409638554217
"Rhinoptera neglecta",50.2463054187192,12.807881773399
"Acroteriobatus blochii",50,0
"Brochiraja aenigma",50,0
"Potamotrygon magdalenae",50,50
"Etmopterus viator",49.7584541062802,7.48792270531401
"Trigonognathus kabeyai",49.618320610687,44.2748091603053
"Dipturus wengi",49.4915254237288,10.8474576271186
"Triakis maculata",47.5,0
"Heterodontus quoyi",47.3684210526316,0
"Rhinobatos planiceps",47.2222222222222,0
"Atelomycterus marnkalha",46.8354430379747,14.873417721519
"Urotrygon venezuelae",46.6666666666667,6.66666666666667
"Carcharhinus cautus",46.0893854748603,10.3351955307263
"Apristurus australis",44.3514644351464,9.20502092050209
"Apristurus spongiceps",43.7246963562753,28.7449392712551
"Neotrygon picta",42.9906542056075,13.3956386292835
"Haploblepharus kistnasamyi",42.8571428571429,0
"Cephaloscyllium signourum",41.6167664670659,2.69461077844311
"Himantura toshi",41.5204678362573,12.280701754386
"Bathyraja eatonii",40.1960784313725,4.90196078431373
"Etmopterus villosus",39.4736842105263,34.2105263157895
"Potamotrygon yepezi",38.4615384615385,7.69230769230769
"Orectolobus reticulatus",37.5,0
"Raja ackleyi",37.5,25
"Rhizoprionodon taylori",36.7816091954023,7.47126436781609
"Hemiscyllium trispeculare",36.744966442953,7.5503355704698
"Aetomylaeus caeruleofasciatus",36.64,7.84
"Carcharhinus fitzroyensis",36.4620938628159,7.76173285198556
"Hemigaleus australiensis",36.4485981308411,7.78816199376947
"Carcharhinus tilstoni",36.4238410596026,7.94701986754967
"Breviraja mouldi",36.3636363636364,0
"Hemiscyllium galei",36.3636363636364,36.3636363636364
"Notoraja sapphira",35.7142857142857,10.7142857142857
"Squalus montalbani",35.6643356643357,5.59440559440559
"Scylliogaleus quecketti",35.2941176470588,0
"Glyphis garricki",34.8148148148148,0.740740740740741
"Cephaloscyllium speccum",34.6153846153846,1.28205128205128
"Pseudoraja fischeri",34.6153846153846,7.69230769230769
"Fenestraja ishiyamai",34.5454545454545,21.8181818181818
"Rhinobatos leucorhynchus",34.2105263157895,7.89473684210526
"Tetronarce tremens",34.0909090909091,0
"Carcharhinus coatesi",33.7431693989071,6.9672131147541
"Acroteriobatus omanensis",33.7078651685393,0
"Gurgesiella furvescens",33.7078651685393,0
"Atelomycterus macleayi",33.6633663366337,0.99009900990099
"Halaelurus sellus",33.5078534031414,1.57068062827225
"Apristurus bucephalus",33.3333333333333,0
"Asymbolus funebris",33.3333333333333,0
"Centrophorus harrissoni",33.3333333333333,9.09090909090909
"Dasyatis longa",33.3333333333333,1.51515151515152
"Narcine atzi",33.3333333333333,0
"Potamotrygon motoro",33.3333333333333,0
"Urotrygon simulatrix",33.3333333333333,0
"Asymbolus parvus",32.8125,2.08333333333333
"Rhinobatos sainsburyi",32.7014218009479,0.947867298578199
"Sinobatis caerulea",32.5,0
"Mustelus mento",32.4324324324324,0
"Squatina pseudocellata",32.3699421965318,1.15606936416185
"Etmopterus evansi",32.3353293413174,4.19161676646707
"Cirrhigaleus australis",32.0512820512821,1.92307692307692
"Triakis megalopterus",32,0
"Bathyraja maccaini",31.7343173431734,0.3690036900369
"Urolophus expansus",31.6239316239316,8.54700854700855
"Notoraja hirticauda",30.3571428571429,3.57142857142857
"Diplobatis ommata",30.2083333333333,7.29166666666667
"Rhinoptera steindachneri",30.188679245283,9.43396226415094
"Dasyatis fluviorum",30.1282051282051,6.41025641025641
"Etmopterus litvinovi",30,0
"Squalus megalops",29.81220657277,6.57276995305164
"Himantura astra",29.7076023391813,6.19883040935673
"Sutorectus tentaculatus",29.608938547486,7.26256983240224
"Carcharhinus galapagensis",29.3333333333333,6.3030303030303
"Irolita waitii",29.2207792207792,7.79220779220779
"Apristurus platyrhynchus",29.1784702549575,6.23229461756374
"Anacanthobatis marmorata",29.1666666666667,0
"Orectolobus maculatus",29.1237113402062,7.47422680412371
"Plesiobatis daviesi",29.0940766550523,4.52961672473868
"Gymnura australis",28.8549618320611,6.10687022900763
"Aulohalaelurus labiosus",28.7671232876712,6.84931506849315
"Fenestraja maceachrani",28.5714285714286,0
"Haploblepharus fuscus",28.5714285714286,0
"Trygonoptera mucosa",28.5714285714286,4.08163265306122
