"species","mean_percentage","sd_percentage"
"Parmaturus nigripalatum",14,34.8735088019777
"Electrolux addisoni",11.5,16.8250054407364
"Heteronarce bentuviai",10.5555555555556,10.1583668966637
"Urolophus mitosis",10.2,16.2045011828769
"Squalus bahiensis",10,30.1511344577764
"Urotrygon cimar",9.8125,8.10555170450127
"Urotrygon nana",9.8,13.1794146189036
"Urotrygon simulatrix",9.66666666666667,16.6127072642814
"Sinobatis brevicauda",9.63636363636364,8.35596725881889
"Oxynotus japonicus",9.5,9.08017042513492
"Squalus hawaiiensis",9.5,20.9557012323953
"Rhinobatos nudidorsalis",9.375,9.791868147508
"Asymbolus funebris",9.33333333333333,11.6822887230715
"Narcine leoparda",9.33333333333333,9.95312620672236
"Parascyllium elongatum",9.17391304347826,6.05156282408529
"Cirrhoscyllium formosanum",9.16666666666667,11.6954910877873
"Himantura hortlei",9.14285714285714,10.0544795109153
"Anacanthobatis folirostris",9.11111111111111,9.65549491830797
"Benthobatis yangi",9,20.572610996962
"Bythaelurus tenuicephalus",9,7.73531103176296
"Dipturus stenorhynchus",9,7.58896919615715
"Holohalaelurus melanostigma",9,6.74447456985898
"Pliotrema annae",9,28.7623491264661
"Rajella eisenhardti",9,21.7655088095219
"Rajella paucispinosa",9,16.312740402484
"Zapteryx xyster",8.96610169491525,3.74988211433915
"Cruriraja andamanica",8.92307692307692,8.23421418150503
"Pseudoraja fischeri",8.92307692307692,5.15378236980558
"Mustelus whitneyi",8.90909090909091,6.19412160837789
"Cruriraja durbanensis",8.9,6.21906485548814
"Mollisquama mississippiensis",8.88235294117647,6.96987932344385
"Rhinobatos prahli",8.87096774193548,5.15425962978396
"Brochiraja heuresa",8.84615384615384,4.34860200790552
"Planonasus indicus",8.83333333333333,11.9517830404136
"Aptychotrema timorensis",8.8,15.3925076881349
"Mustelus dorsalis",8.75,3.99297853124962
"Parmaturus melanobranchus",8.72549019607843,4.41863640361702
"Dipturus johannisdavisi",8.725,4.09013039726934
"Triakis megalopterus",8.72,6.08040402697988
"Discopyge castelloi",8.7037037037037,5.37813724258505
"Urotrygon aspidura",8.67647058823529,5.31051464844262
"Orectolobus floridus",8.65625,5.02234197125829
"Notoraja sapphira",8.64285714285714,3.440230896452
"Etmopterus caudistigmus",8.63333333333333,4.59578199235039
"Himantura pacifica",8.62962962962963,5.31802996275264
"Galeus priapus",8.61538461538461,4.70290271132263
"Apristurus investigatoris",8.58620689655172,5.10510013087235
"Brochiraja aenigma",8.57142857142857,8.1219320516423
"Parmaturus lanatus",8.55555555555556,9.05223097620633
"Parascyllium sparsimaculatum",8.55,6.52481665054523
"Orectolobus hutchinsi",8.54945054945055,3.09471096402593
"Indobatis ori",8.53333333333333,6.70561016104234
"Sinobatis caerulea",8.525,3.86147443970368
"Acroteriobatus annulatus",8.51612903225806,4.66495907783202
"Hemitriakis complicofasciata",8.51282051282051,4.57927107014054
"Anacanthobatis marmorata",8.5,5.67794480767973
"Bathyraja leucomelanos",8.5,9.38110070860827
"Apristurus bucephalus",8.5,10.7243285731349
"Poroderma pantherinum",8.49206349206349,3.59119288479744
"Etmopterus fusus",8.484375,3.4991811699996
"Dipturus oculus",8.48214285714286,3.94326094038293
"Bathyraja pacifica",8.47619047619048,5.80574554434906
"Brochiraja vittacauda",8.46875,4.7485502505842
"Apristurus breviventralis",8.46341463414634,4.18097789232834
"Planonasus parini",8.46341463414634,4.18097789232834
"Notoraja lira",8.45714285714286,3.05707407779571
"Bythaelurus lutarius",8.45454545454546,6.98883466686935
"Urolophus westraliensis",8.45454545454546,3.06937757933145
"Benthobatis moresbyi",8.44970414201183,2.16404322107753
"Urolophus expansus",8.44444444444444,2.77893639627957
"Rajella challengeri",8.4375,1.95299347200228
"Haploblepharus fuscus",8.42857142857143,11.3225602695465
"Trygonoptera imitata",8.42647058823529,3.09925036683416
"Acroteriobatus ocellatus",8.42592592592593,3.23840169984363
"Triakis maculata",8.425,4.27370099586064
"Cephaloscyllium hiscosellum",8.425,2.32071806198692
"Dipturus polyommata",8.41428571428571,2.92766501300359
"Heteronarce prabhui",8.4,13.6862387569826
"Mustelus minicanis",8.4,5.47374100853404
"Dipturus canutus",8.39495798319328,1.74315153809023
"Centrophorus harrissoni",8.39393939393939,2.63047780837905
"Urolophus bucculentus",8.39230769230769,1.56387326837751
"Asymbolus galacticus",8.38888888888889,6.48725091944438
"Urobatis tumbesensis",8.375,7.33724929879906
"Squatina tergocellata",8.37341772151899,2.40182252602632
"Asymbolus submaculatus",8.37234042553191,2.99241197869359
"Urotrygon munda",8.36,5.77266284860257
"Cephaloscyllium albipinnum",8.35775862068965,1.77867317149607
"Gurgesiella furvescens",8.34831460674157,2.99308224969528
"Apristurus gibbosus",8.34782608695652,5.94925490135921
"Bythaelurus naylori",8.34782608695652,6.3528114654154
"Asymbolus occiduus",8.34730538922156,2.17292516883039
"Dipturus apricus",8.3448275862069,2.48637240169277
"Squalus chloroculus",8.34222222222222,1.84697539763427
"Bathyraja papilionifera",8.33962264150943,3.69831545558827
"Deania quadrispinosa",8.33503836317136,1.53155093046085
"Bythaelurus dawsoni",8.33408577878104,1.28565124071763
"Apristurus canutus",8.33333333333333,4.57194150310099
"Dasyatis chrysonota",8.33333333333333,3.87408092388499
"Fenestraja mamillidens",8.33333333333333,16.6666666666667
"Aulohalaelurus labiosus",8.31506849315068,3.72620137312684
"Etmopterus alphus",8.31111111111111,4.01543350060492
"Irolita waitii",8.30519480519481,2.44588744588745
"Etmopterus splendidus",8.30208333333333,2.89166396796854
"Notoraja ochroderma",8.3,8.99550954194324
"Squalus lobularis",8.3,4.12677877166962
"Pristiophorus nancyae",8.29166666666667,4.34165382227302
"Somniosus antarcticus",8.28710725893825,0.84083879699962
"Notoraja martinezi",8.28,3.48178521491896
"Leucoraja pristispina",8.27439024390244,1.96153768209952
"Cephaloscyllium zebrum",8.27272727272727,8.77266660936219
"Schroederichthys chilensis",8.27272727272727,8.5802390727836
"Sinobatis bulbicauda",8.27222222222222,1.86007433808702
"Dasyatis marmorata",8.26956521739131,2.51628140489289
"Mustelus antarcticus",8.26702997275204,1.36828606730826
"Urolophus armatus",8.26666666666667,4.45654917256583
"Brochiraja asperula",8.26383763837638,1.16343790377396
"Pristiophorus nudipinnis",8.25941422594142,1.76679589569173
"Asymbolus rubiginosus",8.25806451612903,2.14074014548462
"Mustelus stevensi",8.25806451612903,2.14172191125303
"Centroscymnus plunketi",8.25660964230171,1.08225362866579
"Rajella barnardi",8.25567010309278,1.3845064198263
"Raja herwigi",8.25352112676056,3.41507676255917
"Notoraja azurea",8.25263157894737,1.38166818273372
"Raja maderensis",8.25,4.93646501746816
"Torpedo adenensis",8.25,9.0975354638029
"Pavoraja nitida",8.24912280701754,1.56161953159615
"Dipturus lanceorostratus",8.24390243902439,4.47698385850579
"Dipturus confusus",8.24025974025974,1.92649536164627
"Sutorectus tentaculatus",8.24022346368715,2.29088813802139
"Urolophus circularis",8.23809523809524,6.1978717802235
"Apristurus exsanguis",8.23741935483871,1.02911218256107
"Scymnodalatias albicauda",8.23586744639376,1.21793956969902
"Scylliogaleus quecketti",8.23529411764706,6.74070246031695
"Scymnodalatias sherwoodi",8.23472668810289,1.55380388888026
"Spiniraja whitleyi",8.23028391167192,1.4667270642875
"Leucoraja leucosticta",8.22633744855967,1.85749648935122
"Heteroscymnoides marleyi",8.22448979591837,2.10751316253101
"Etmopterus burgessi",8.22222222222222,6.38968179337798
"Brochiraja leviveneta",8.22189781021898,0.978503770778994
"Dipturus acrobelus",8.2218045112782,1.65183373778729
"Rajella dissimilis",8.22102425876011,1.55029428212875
"Deania hystricosa",8.2200956937799,2.10313115625876
"Orectolobus parvimaculatus",8.21875,4.87887941343174
"Anacanthobatis longirostris",8.21875,2.26884730361503
"Pavoraja arenaria",8.21827411167513,1.78734120181118
"Zearaja argentinensis",8.21678321678322,2.33814333178259
"Squatina australis",8.21613832853026,1.46115392161922
"Rhinoraja longicauda",8.2156862745098,4.03572218344567
"Apristurus ampliceps",8.21487603305785,1.62689293637499
"Psammobatis normani",8.21428571428571,1.50650451077467
"Rhynchobatus luebberti",8.21333333333333,3.26994269866083
"Dipturus gudgeri",8.21204188481675,1.39549355398311
"Dasyatis margarita",8.20967741935484,1.84605211971929
"Notoraja sticta",8.20833333333333,3.77841832062196
"Trygonorrhina dumerilii",8.20760233918129,1.50950886853299
"Dactylobatus clarkii",8.20740740740741,1.55425452870081
"Bathyraja spinosissima",8.20710059171598,1.57769632775088
"Dipturus doutrei",8.20565552699229,1.56718022386555
"Apristurus australis",8.20292887029289,1.29962998677653
"Dasyatis rudis",8.2,6.41651908527647
"Rajella leoparda",8.19847328244275,1.56962853507924
"Bathyraja meridionalis",8.19789473684211,1.27086784021527
"Raja stellulata",8.19565217391304,2.8040422598417
"Raja straeleni",8.19346733668342,1.56437163967735
"Centroscyllium kamoharai",8.19283746556474,1.43204660603376
"Apristurus pinguis",8.19187358916479,1.31831089557535
"Apristurus sinensis",8.19011406844106,1.11990913159631
"Triakis acutipinna",8.1875,3.73682449724794
"Figaro boardmani",8.18426103646833,1.22689130799646
"Aptychotrema vincentiana",8.18122977346278,1.45100169530479
"Apristurus albisoma",8.18,2.47565928368362
"Psammobatis rudis",8.17471264367816,1.2773658222263
"Bathyraja hesperafricana",8.17073170731707,1.59040361673535
"Myliobatis ridens",8.16923076923077,2.25338852553008
"Sinobatis filicauda",8.16666666666667,5.67794480767973
"Sinobatis borneensis",8.16312056737589,2.17254514421922
"Parascyllium variolatum",8.16296296296296,1.62247178151036
"Brochiraja spinifera",8.16182572614108,1.70834496819694
"Etmopterus evansi",8.16167664670659,1.9005575219208
"Cirrhigaleus australis",8.16132478632479,0.967323980761872
"Notoraja hirticauda",8.16071428571428,3.25288472263605
"Squatina tergocellatoides",8.15942028985507,2.98974532653387
"Dasyatis parvonigra",8.1578947368421,4.75335299547886
"Heterodontus quoyi",8.1578947368421,5.46528411185979
"Raja velezi",8.15463917525773,2.63792128258942
"Dipturus cerva",8.15272727272727,1.55586511415467
"Asymbolus vincenti",8.15151515151515,1.46028609038394
"Cephaloscyllium variegatum",8.15,1.87536420372698
"Dipturus lamillai",8.14516129032258,2.45707534003442
"Aetomylaeus asperrimus",8.14285714285714,6.02699744727506
"Scyliorhinus boa",8.14089347079038,1.59598209953454
"Scyliorhinus cervigoni",8.14066496163683,1.51940633168485
"Dasyatis margaritella",8.14022140221402,1.82577462803131
"Urolophus paucimaculatus",8.14009661835749,1.98576374134975
"Squalus grahami",8.13942307692308,1.8147096659733
"Rajella caudaspinosa",8.13793103448276,2.35255962875156
"Dipturus garricki",8.13609467455621,2.18728044072762
"Holohalaelurus regani",8.13513513513514,2.23976884432835
"Mustelus henlei",8.13432835820896,1.1967400944622
"Torpedo bauchotae",8.13333333333333,2.46786302773903
"Bathyraja peruana",8.13286713286713,2.2328453965169
"Furgaleus macki",8.1319018404908,1.41445723401739
"Poroderma africanum",8.13157894736842,4.44293148371692
"Oxynotus bruniensis",8.13132694938441,1.0650348331027
"Bathyraja scaphiops",8.1301775147929,1.34398875227851
"Dipturus queenslandicus",8.12903225806452,5.17674453983717
"Squatina albipunctata",8.12861736334405,1.50545538978965
"Aculeola nigra",8.12820512820513,4.4194954513791
"Pristiophorus cirratus",8.12806539509537,1.44549125292592
"Parascyllium ferrugineum",8.1241134751773,1.57064903285147
"Orectolobus halei",8.12332439678284,1.4168410747165
"Mustelus ravidus",8.12252964426878,1.64210583881993
"Narcine tasmaniensis",8.12186379928315,1.65878917862095
"Narcine nelsoni",8.12,2.02205571520074
"Heterodontus portusjacksoni",8.11228070175439,1.139463114955
"Urolophus orarius",8.11111111111111,4.98560369441936
"Centroscyllium nigrum",8.10704960835509,1.37528654879576
"Squalus albifrons",8.10614525139665,1.89324881745142
"Bathyraja fedorovi",8.10544217687075,1.25631936120067
"Cruriraja hulleyi",8.10526315789474,3.07893487276917
"Apristurus nasutus",8.10416666666667,3.01460448610292
"Torpedo mackayana",8.10084033613445,2.39333796771802
"Etmopterus unicolor",8.10068965517241,1.07947753213961
"Apristurus microps",8.09923664122137,2.2987857108002
"Dentiraja lemprieri",8.09923664122137,2.07257407341557
"Bathyraja macloviana",8.09650924024641,1.25574530061335
"Ctenacis fehlmanni",8.09649122807017,2.8152430209907
"Galeus polli",8.09475806451613,1.39721927999273
"Rajella nigerrima",8.09433962264151,2.10149000115878
"Breviraja mouldi",8.09090909090909,5.54184801960592
"Apristurus laurussonii",8.088,0.795096080846697
"Bathyraja tzinovskii",8.08791208791209,2.59258242772734
"Paragaleus pectoralis",8.08762886597938,1.28027401004293
"Dipturus falloargus",8.08474576271187,1.92505367654247
"Rhinobatos planiceps",8.08333333333333,4.45101576489223
"Urobatis halleri",8.0806916426513,1.52158031240837
"Apristurus profundorum",8.08,1.30941509890278
"Cephaloscyllium laticeps",8.0796178343949,1.55205711863503
"Amblyraja doellojuradoi",8.07803992740472,1.24181014811723
"Nasolamia velox",8.07801418439716,2.49964749912843
"Bathyraja richardsoni",8.07744107744108,0.643585441212268
"Centrophorus moluccensis",8.07512520868114,0.969290274493343
"Etmopterus viator",8.07487922705314,1.25028947855887
"Mobula munkiana",8.07118807118807,0.405197290312503
"Bathyraja cousseauae",8.06818181818182,1.8174642753076
"Etmopterus compagnoi",8.0679012345679,2.02604857804147
"Cruriraja cadenati",8.06666666666667,6.98209992884563
"Pteroplatytrygon violacea",8.06609880749574,0.524751036928236
"Apristurus saldanha",8.06,2.43219151292729
