"species","mean_percentage","sd_percentage"
"Narcine insolita",14,34.8735088019777
"Squalus bahiensis",12,32.659863237109
"Squalus hawaiiensis",11,21.9963265987388
"Bathyraja leucomelanos",10,11.6504215903255
"Rajella eisenhardti",10,22.4733287487747
"Rhinobatos lionotus",10,9.74420314594759
"Anacanthobatis folirostris",10,9.00319323711848
"Bythaelurus alcockii",9.55555555555556,9.60888726923866
"Urolophus deforgesi",9.53571428571428,5.60811817695595
"Rajella purpuriventralis",9.52,5.04621069954896
"Acroteriobatus blochii",9.5,22.1279566306169
"Urolophus lobatus",9.5,13.6607526006498
"Parmaturus bigus",9.375,10.4166666666667
"Rajella paucispinosa",9.33333333333333,15.7705204535545
"Urolophus papilio",9.25806451612903,5.2807732361742
"Apristurus nakayai",9.25,16.5354684593971
"Himantura hortlei",9.14285714285714,12.2705702159287
"Cruriraja cadenati",9,7.54336509141357
"Himantura kittipongi",9,28.7623491264661
"Haploblepharus fuscus",9,11.2421666995556
"Okamejei philipi",9,20.572610996962
"Parmaturus nigripalatum",9,28.7623491264661
"Pliotrema annae",9,28.7623491264661
"Potamotrygon magdalenae",9,19.3061459832685
"Pristiophorus lanae",9,28.7623491264661
"Myliobatis peruvianus",9,16.312740402484
"Aulohalaelurus labiosus",8.93150684931507,3.13031478821718
"Apristurus investigatoris",8.93103448275862,5.75954770547795
"Leucoraja yucatanensis",8.84615384615385,7.98772293271815
"Asymbolus funebris",8.83333333333333,11.472653280233
"Cirrhoscyllium formosanum",8.83333333333333,10.4486881557009
"Neoraja carolinensis",8.81481481481481,4.93209490257733
"Apristurus stenseni",8.8,14.3040574875124
"Bathyraja pallida",8.76923076923077,7.49713550780733
"Apristurus fedorovi",8.75555555555556,3.58489577817356
"Centroscyllium ornatum",8.74193548387097,3.71197882910102
"Anacanthobatis longirostris",8.671875,2.13449259385154
"Dipturus queenslandicus",8.64516129032258,5.14415532994368
"Cephaloscyllium zebrum",8.63636363636364,8.70388279778489
"Rhinobatos nudidorsalis",8.625,9.84331157834003
"Bythaelurus tenuicephalus",8.61538461538461,7.75267686451183
"Parmaturus melanobranchus",8.6078431372549,3.87068393253804
"Etmopterus caudistigmus",8.6,4.78915722607088
"Breviraja mouldi",8.59090909090909,6.48947467643503
"Apristurus manis",8.58974358974359,4.37903878887162
"Breviraja claramaculata",8.58823529411765,6.71056116809919
"Pseudoraja fischeri",8.57692307692308,5.72972748571398
"Bathyraja ishiharai",8.57142857142857,5.93913870916499
"Bythaelurus naylori",8.56521739130435,5.81206895179095
"Okamejei cairae",8.52325581395349,2.50677172587277
"Dipturus olseni",8.51515151515152,3.56981758526713
"Scyliorhinus meadi",8.51127819548872,2.27926163662089
"Rajella ravidula",8.50387596899225,2.78620254124768
"Bathyraja andriashevi",8.50335570469799,2.10307053926366
"Cruriraja atlantis",8.5,5.71510481505269
"Fenestraja atripinna",8.49056603773585,3.98222530574405
"Rhinoraja longicauda",8.49019607843137,4.04878809276751
"Apristurus gibbosus",8.47826086956522,5.57461739078789
"Orectolobus floridus",8.46875,4.83092857497031
"Apristurus herklotsi",8.4537037037037,2.70561906542008
"Cephaloscyllium speccum",8.44871794871795,2.6286551815851
"Heteronarce bentuviai",8.44444444444444,10.6081447367085
"Scyliorhinus comoroensis",8.44444444444444,9.49136690058925
"Orectolobus parvimaculatus",8.4375,4.83511265576505
"Asymbolus submaculatus",8.43617021276596,2.68046811233626
"Urolophus circularis",8.42857142857143,6.04824204371213
"Trygonoptera imitata",8.42647058823529,3.71477373223778
"Dipturus oregoni",8.41509433962264,4.01746692461097
"Leucoraja compagnoi",8.41304347826087,3.74186406186827
"Dipturus lamillai",8.40322580645161,2.39116849114958
"Dipturus garricki",8.40236686390533,2.40098529550231
"Urolophus mitosis",8.4,12.4494939250517
"Orectolobus hutchinsi",8.38461538461539,3.07920169976842
"Fenestraja plutonia",8.3781512605042,2.48095103109412
"Parmaturus pilosus",8.37668161434978,2.00227954795472
"Oxynotus japonicus",8.375,9.24125986207421
"Mustelus stevensi",8.37096774193548,2.32881526262578
"Dactylobatus clarkii",8.37037037037037,1.8174888870929
"Bythaelurus dawsoni",8.35665914221219,1.23804977760518
"Zearaja argentinensis",8.34965034965035,2.28999746665773
"Asymbolus pallidus",8.3495145631068,2.04561838237388
"Dipturus melanospilus",8.34751773049645,2.19663953385695
"Urolophus westraliensis",8.33766233766234,3.27186927195379
"Apristurus bucephalus",8.33333333333333,10.9841228136018
"Cephaloscyllium stevensi",8.33333333333333,10.4607652410141
"Fenestraja mamillidens",8.33333333333333,16.6666666666667
"Raja bahamensis",8.33333333333333,15.2605504340789
"Brochiraja spinifera",8.32780082987552,1.8939276808984
"Bathyraja papilionifera",8.32075471698113,3.4037884598075
"Bathyraja smithii",8.31868131868132,3.06172212017605
"Centrophorus harrissoni",8.31313131313131,2.595611994401
"Galeus eastmani",8.31088082901554,1.944157994396
"Apristurus saldanha",8.31,2.8165994254122
"Isistius plutodus",8.30927835051546,1.38957069270293
"Malacoraja kreffti",8.30813953488372,1.96648354718287
"Bythaelurus hispidus",8.30769230769231,3.32265738012409
"Urolophus orarius",8.2962962962963,5.69703868164859
"Apristurus macrorhynchus",8.29585798816568,2.08395246356423
"Centroscyllium granulatum",8.29411764705882,4.29816780755803
"Fenestraja cubensis",8.29166666666667,3.5722407241109
"Dipturus gigas",8.28991596638656,1.78547585000725
"Scymnodalatias sherwoodi",8.28295819935691,1.52341242698657
"Cephaloscyllium sarawakensis",8.27272727272727,8.07914353838838
"Etmopterus dislineatus",8.26222222222222,1.85907815663244
"Bythaelurus canescens",8.26027397260274,2.32183831553758
"Centroscymnus plunketi",8.25816485225505,1.07145553399743
"Squatina albipunctata",8.2572347266881,1.64393261368339
"Bathyraja cousseauae",8.25,1.78385291704554
"Sinobatis caerulea",8.25,4.074743593594
"Himantura dalyensis",8.25,7.5373183047974
"Apristurus japonicus",8.24822695035461,2.31992970678528
"Acroteriobatus salalah",8.24778761061947,2.33927716905094
"Leucoraja lentiginosa",8.24242424242424,2.55782482536113
"Triakis megalopterus",8.24,5.68023331431469
"Sinobatis bulbicauda",8.23888888888889,1.99146294941373
"Bathyraja scaphiops",8.23372781065089,1.5295710298345
"Trygonoptera galba",8.22727272727273,4.20908783495555
"Neoraja africana",8.22641509433962,3.96430560821262
"Narcine lasti",8.22529644268775,1.58072321099372
"Asymbolus galacticus",8.22222222222222,6.29134287227701
"Pavoraja umbrosa",8.22222222222222,3.88911156792142
"Bathyraja spinosissima",8.22189349112426,1.39804066174301
"Breviraja colesi",8.21897810218978,1.93988045601186
"Dactylobatus armatus",8.2183908045977,2.61586896037998
"Mustelus ravidus",8.21739130434783,1.67815128208509
"Galeus longirostris",8.2156862745098,2.72272522902114
"Notoraja lira",8.21428571428571,3.33256020718741
"Rhinoraja kujiensis",8.21153846153846,2.11860005361657
"Heterodontus quoyi",8.21052631578947,6.13784409983716
"Apristurus exsanguis",8.21032258064516,0.907341551497043
"Zearaja chilensis",8.20987654320988,3.52425131823008
"Apristurus ampliceps",8.20661157024793,1.52368790338382
"Maculabatis arabica",8.20491803278689,2.58283772980529
"Gurgesiella furvescens",8.20224719101124,2.77760242962384
"Irolita waitii",8.2012987012987,2.3954959915155
"Etmopterus decacuspidatus",8.2,13.056211030182
"Parascyllium sparsimaculatum",8.2,5.34279463815095
"Sinobatis andamanensis",8.2,12.7429917360029
"Dipturus doutrei",8.19794344473008,1.29641054083603
"Notoraja hirticauda",8.19642857142857,3.58129049649487
"Okamejei schmidti",8.19480519480519,3.08156451148191
"Oxynotus caribbaeus",8.19327731092437,1.86332418706584
"Brochiraja asperula",8.19188191881919,1.09168513149096
"Sympterygia brevicaudata",8.19047619047619,5.66598150271078
"Leucoraja pristispina",8.18292682926829,2.00869255507913
"Okamejei pita",8.18181818181818,7.80640623432769
"Bathyraja abyssicola",8.18101761252446,0.928354782280508
"Glyphis gangeticus",8.18095238095238,2.12461369927011
"Scyliorhinus torrei",8.18032786885246,2.34741507607453
"Apristurus nasutus",8.17708333333333,2.54456198589386
"Deania hystricosa",8.16746411483254,1.73284120270469
"Breviraja nigriventralis",8.16666666666667,3.5651700815582
"Squalus raoulensis",8.16666666666667,11.2354157867537
"Tetronarce tremens",8.16666666666667,2.2029909150122
