"species","mean_percentage","sd_percentage"
"Pristiophorus lanae",3,17.1446607997765
"Urobatis pardalis",3,17.1446607997765
"Potamotrygon magdalenae",2.5,10.9521456778795
"Squalus hawaiiensis",2.5,10.9521456778795
"Benthobatis yangi",2,9.84731927834662
"Pliotrema annae",2,14.070529413629
"Squalus bahiensis",2,14.070529413629
"Fenestraja mamillidens",2,7.9561085525314
"Bathyraja leucomelanos",1.75,5.03146664161222
"Raja ackleyi",1.75,5.03146664161222
"Torpedo adenensis",1.625,4.22497086237039
"Etmopterus lailae",1.6,5.45319848688581
"Bythaelurus incanus",1.55555555555556,3.87483431133086
"Bythaelurus immaculatus",1.54545454545455,3.43204698244215
"Asymbolus funebris",1.5,4.79372485441102
"Cephaloscyllium stevensi",1.5,5.34709923773039
"Parmaturus lanatus",1.44444444444444,3.75552965544035
"Urolophus armatus",1.43333333333333,2.13227035807147
"Sinobatis andamanensis",1.4,5.12864799952486
"Cephaloscyllium sarawakensis",1.36363636363636,3.50901906414793
"Breviraja claramaculata",1.35294117647059,2.75463076163999
"Cruriraja cadenati",1.33333333333333,2.84267621807481
"Malacoraja obscura",1.33333333333333,2.99644383316996
"Zameus ichiharai",1.33333333333333,3.14269680527354
"Narcine leoparda",1.33333333333333,3.62887369301212
"Apristurus bucephalus",1.33333333333333,4.54433207240484
"Himantura oxyrhyncha",1.33333333333333,6.56487951889774
"Dipturus johannisdavisi",1.3,1.6468519095903
"Apristurus albisoma",1.29,1.03762549441823
"Parmaturus angelae",1.28571428571429,3.10935840136027
"Etmopterus perryi",1.27272727272727,3.17031898199797
"Brochiraja microspinifera",1.26984126984127,1.53015620207666
"Bythaelurus bachi",1.26666666666667,2.95039421741559
"Apristurus gibbosus",1.26086956521739,2.0768861115288
"Hemiscyllium freycineti",1.26086956521739,2.49457604124551
"Apristurus nakayai",1.25,6.52791209833867
"Dipturus oculus",1.25,1.49079841060129
"Parascyllium sparsimaculatum",1.25,2.39686242720551
"Urolophus lobatus",1.25,5.47607283893976
"Breviraja spinosa",1.22916666666667,1.39188439596009
"Orectolobus parvimaculatus",1.21875,1.98115928400163
"Etmopterus benchleyi",1.21739130434783,2.05702440698537
"Centrophorus westraliensis",1.2156862745098,1.12448696301211
"Dipturus oregoni",1.20754716981132,1.50561743539237
"Trygonoptera imitata",1.20588235294118,1.27793315095253
"Hemitriakis complicofasciata",1.20512820512821,1.52262417216673
"Scyliorhinus torrei",1.20491803278689,0.898321432938448
"Heteronarce prabhui",1.2,4.77366513151884
"Urotrygon munda",1.2,2.23832549243871
"Orectolobus hutchinsi",1.1978021978022,1.06043222750532
"Okamejei cairae",1.19767441860465,1.24179570997939
"Dactylobatus armatus",1.19540229885057,1.04507139440505
"Brochiraja albilabiata",1.19047619047619,2.18007863343984
"Urolophus circularis",1.19047619047619,2.47528380929415
"Urobatis tumbesensis",1.1875,2.90514499194832
"Neoraja carolinensis",1.18518518518519,2.16281741332362
"Raja stellulata",1.18478260869565,1.15710201364507
"Hemiscyllium galei",1.18181818181818,3.33333333333333
"Trygonoptera galba",1.18181818181818,1.59827104180279
"Scymnodalatias oligodon",1.18085106382979,1.15050914762689
