"species","mean_percentage","sd_percentage"
"Cephaloscyllium zebrum",25.7272727272727,12.7295682043817
"Urolophus lobatus",24.5,23.0228257399153
"Parascyllium sparsimaculatum",24.05,9.60573797374267
"Apristurus bucephalus",23.6666666666667,18.9778061646702
"Dipturus queenslandicus",23.5161290322581,7.57969184885037
"Asymbolus funebris",23.5,16.7665358015122
"Orectolobus floridus",23.4375,7.83928489253086
"Dipturus healdi",23.1686746987952,4.91822183761951
"Dasyatis parvonigra",23.1052631578947,6.92300756901291
"Neotrygon ningalooensis",23,20.9255534664866
"Pavoraja mosaica",22.9583333333333,4.22681520372369
"Pavoraja pseudonitida",22.9583333333333,4.22681520372369
"Orectolobus parvimaculatus",22.9375,7.79790303008871
"Notoraja ochroderma",22.9,13.8749829374724
"Aulohalaelurus labiosus",22.8630136986301,4.76803850942313
"Urolophus expansus",22.8034188034188,3.19310242137579
"Dipturus oculus",22.7857142857143,6.40145797400482
"Notoraja azurea",22.7447368421053,1.86090317621395
"Orectolobus hutchinsi",22.7362637362637,4.31351644264046
"Squatina tergocellata",22.6962025316456,3.10846594831616
"Parascyllium elongatum",22.695652173913,8.35018631543926
"Cephaloscyllium albipinnum",22.6939655172414,2.50389669171661
"Dipturus canutus",22.6806722689076,2.46953939696808
"Irolita waitii",22.6623376623377,3.01974322459077
"Dipturus acrobelus",22.6466165413534,2.32244552940337
"Pavoraja arenaria",22.6446700507614,2.82571912013536
"Dipturus polyommata",22.6428571428571,4.72441955982775
"Dipturus gudgeri",22.6361256544503,1.95489922089144
"Squalus chloroculus",22.5911111111111,2.62978991307406
"Rajella challengeri",22.5885416666667,2.93664152002891
"Asymbolus occiduus",22.5868263473054,2.82801169306771
"Apristurus australis",22.5690376569038,1.77099460857461
"Asymbolus submaculatus",22.5531914893617,3.63209712622967
"Sinobatis filicauda",22.5416666666667,8.60448996017472
"Cephaloscyllium hiscosellum",22.5166666666667,3.85624830035415
"Cephaloscyllium variegatum",22.5166666666667,2.91143644141308
"Figaro striatus",22.5,4.2144315841831
"Etmopterus fusus",22.484375,5.4890945530201
"Sutorectus tentaculatus",22.4748603351955,3.0390768926783
"Pavoraja umbrosa",22.462962962963,5.22229651333625
"Pristiophorus delicatus",22.4462809917355,3.40189206202854
"Squalus notocaudatus",22.4330708661417,3.25808381093997
